"","county_code","avg_emission"
"1"," 13001",53.4633843833766
"2"," 13003",306.326574418234
"3"," 13005",-506.207399481643
"4"," 13007",-671.523489969747
"5"," 13009",9232.67054355383
"6"," 13011",5951.45211904351
"7"," 13013",20810.0136262922
"8"," 13015",49802.6600074455
"9"," 13017",1680.12444903766
"10"," 13019",1013.74783639204
"11"," 13021",63572.5076883443
"12"," 13023",-177.570129958219
"13"," 13025",-6963.37549748214
"14"," 13027",92.5035470662792
"15"," 13029",5027.03057351344
"16"," 13031",18009.958806513
"17"," 13033",713.795962859088
"18"," 13035",5410.48186544417
"19"," 13037",183.194537060375
"20"," 13039",8631.64830496912
"21"," 13043",2542.89681460476
"22"," 13045",50967.6193981519
"23"," 13047",16729.65277471
"24"," 13049",-10782.4826270756
"25"," 13051",131364.657344745
"26"," 13053",-351.058999863006
"27"," 13055",4023.8211290513
"28"," 13057",56040.9292378013
"29"," 13059",45519.0626652569
"30"," 13061",-1020.85511722404
"31"," 13063",90064.1939636608
"32"," 13065",-14980.9176458212
"33"," 13067",227786.151994728
"34"," 13069",7995.85278253112
"35"," 13071",7673.90495121948
"36"," 13073",27320.9653423525
"37"," 13075",6356.16728792503
"38"," 13077",37442.1901163185
"39"," 13079",-3195.88718273113
"40"," 13081",10206.8481954383
"41"," 13083",3510.74717683724
"42"," 13085",3573.71299973254
"43"," 13087",7511.59472333247
"44"," 13089",228149.719314404
"45"," 13091",-1080.50327078523
"46"," 13093",6573.99639885857
"47"," 13095",38851.9747594971
"48"," 13097",39926.7776845484
"49"," 13099",17512.2952229024
"50"," 13101",-6732.74614406626
"51"," 13103",22671.2841167087
"52"," 13105",3572.93146009205
"53"," 13107",-984.681045169935
"54"," 13109",385.380791621162
"55"," 13111",-426.744350358052
"56"," 13113",33628.2959465341
"57"," 13115",38601.8190027513
"58"," 13117",69982.1218448526
"59"," 13119",12364.0427153384
"60"," 13121",420028.133632533
"61"," 13123",2494.77032101325
"62"," 13125",-1326.26756259168
"63"," 13127",32211.7172449869
"64"," 13129",24631.9097354643
"65"," 13131",-2117.22922675947
"66"," 13133",-216.465132444351
"67"," 13135",244807.4687301
"68"," 13137",11069.6388927455
"69"," 13139",68731.0773879253
"70"," 13141",-5745.1018500091
"71"," 13143",6363.28703564818
"72"," 13145",2732.75227331247
"73"," 13147",9128.17066180065
"74"," 13149",-1607.52126284583
"75"," 13151",60923.7965853282
"76"," 13153",50678.9540817077
"77"," 13155",1768.51367853536
"78"," 13157",22177.7138842929
"79"," 13159",-871.344726232143
"80"," 13161",-6183.936709245
"81"," 13163",1877.60455390766
"82"," 13165",-838.078001877367
"83"," 13167",-3111.70235638695
"84"," 13169",-674.23344066091
"85"," 13171",4665.51603014305
"86"," 13173",-1248.84744318588
"87"," 13175",13457.0771510656
"88"," 13177",4593.63604830514
"89"," 13179",14162.4042378488
"90"," 13181",-5529.11845949338
"91"," 13183",-4066.14924412953
"92"," 13185",37151.2813788526
"93"," 13187",3165.30407447649
"94"," 13189",5633.20535468214
"95"," 13191",2147.6713167096
"96"," 13193",5346.55601916429
"97"," 13195",7959.18335039961
"98"," 13197",3026.204050725
"99"," 13199",-454.583298120584
"100"," 13201",1882.08940197515
"101"," 13205",11035.0085395499
"102"," 13207",6115.72144200361
"103"," 13209",-2248.54258363601
"104"," 13211",6514.37311360974
"105"," 13213",6947.99770150013
"106"," 13215",57889.7059301261
"107"," 13217",29738.1589098119
"108"," 13219",9274.20166281844
"109"," 13221",-718.010201809793
"110"," 13223",25593.8222282157
"111"," 13225",10565.8180600984
"112"," 13227",5012.93576176104
"113"," 13229",-3225.41490106201
"114"," 13231",1187.74896455299
"115"," 13233",10679.885134594
"116"," 13235",1885.95875223913
"117"," 13237",2063.71759416247
"118"," 13239",-1848.72194287311
"119"," 13241",-1244.85926482001
"120"," 13243",-6308.17957541929
"121"," 13245",130669.793036358
"122"," 13247",30784.966541506
"123"," 13249",-667.732371098921
"124"," 13251",-3865.83903006551
"125"," 13253",2957.64772831396
"126"," 13255",22616.0310166995
"127"," 13257",6331.24539360364
"128"," 13259",-5507.63361760097
"129"," 13261",8715.3781542437
"130"," 13263",-5930.10732636385
"131"," 13265",-963.046340908431
"132"," 13267",-1291.80613438714
"133"," 13269",-1567.4152940007
"134"," 13271",-4978.03722211781
"135"," 13273",1758.58676804491
"136"," 13275",7504.29513574026
"137"," 13277",17307.2469145558
"138"," 13279",562.808602616706
"139"," 13281",296.933521168027
"140"," 13283",536.637975750182
"141"," 13285",22176.5619412118
"142"," 13287",4792.9283680685
"143"," 13289",4140.11153953
"144"," 13291",344.92523447137
"145"," 13293",4107.99767209325
"146"," 13295",12769.2750383864
"147"," 13297",20057.2608996021
"148"," 13299",-4689.98356391381
"149"," 13301",-158.714390796948
"150"," 13303",311.734242521169
"151"," 13305",5108.63573888084
"152"," 13307",-1682.46314966702
"153"," 13309",-7661.13537761574
"154"," 13311",4035.87166173528
"155"," 13313",46134.151245568
"156"," 13315",-1271.82432691709
"157"," 13317",-4813.33398578558
"158"," 13319",5260.10786641424
"159"," 13321",5115.66177134434
