"","County","Population"
"1","Appling",18236
"2","Atkinson",8375
"3","Bacon",11096
"4","Baker",3451
"5","Baldwin",45720
"6","Banks",18395
"7","Barrow",69367
"8","Bartow",100157
"9","Ben Hill",17634
"10","Berrien",19286
"11","Bibb",155547
"12","Bleckley",13063
"13","Brantley",18411
"14","Brooks",16243
"15","Bryan",30233
"16","Bulloch",70217
"17","Burke",23316
"18","Butts",23655
"19","Calhoun",6694
"20","Camden",50513
"21","Candler",10998
"22","Carroll",110527
"23","Catoosa",63942
"24","Charlton",12171
"25","Chatham",265128
"26","Chattahoochee",11267
"27","Chattooga",26015
"28","Cherokee",214346
"29","Clarke",116714
"30","Clay",3183
"31","Clayton",259424
"32","Clinch",6798
"33","Cobb",688078
"34","Coffee",42356
"35","Colquitt",45498
"36","Columbia",124053
"37","Cook",17212
"38","Coweta",127317
"39","Crawford",12630
"40","Crisp",23439
"41","Dade",16633
"42","Dawson",22330
"43","Decatur",27842
"44","DeKalb",691893
"45","Dodge",21796
"46","Dooly",14918
"47","Dougherty",94565
"48","Douglas",132403
"49","Early",11008
"50","Echols",4034
"51","Effingham",52250
"52","Elbert",20166
"53","Emanuel",22598
"54","Evans",11000
"55","Fannin",23682
"56","Fayette",106567
"57","Floyd",96317
"58","Forsyth",175511
"59","Franklin",22084
"60","Fulton",920581
"61","Gilmer",28292
"62","Glascock",3082
"63","Glynn",79626
"64","Gordon",55186
"65","Grady",25011
"66","Greene",15994
"67","Gwinnett",805321
"68","Habersham",43041
"69","Hall",179684
"70","Hancock",9429
"71","Haralson",28780
"72","Harris",32024
"73","Hart",25213
"74","Heard",11834
"75","Henry",203922
"76","Houston",139900
"77","Irwin",9538
"78","Jackson",60485
"79","Jasper",13900
"80","Jeff Davis",15068
"81","Jefferson",16930
"82","Jenkins",8340
"83","Johnson",9980
"84","Jones",28669
"85","Lamar",18317
"86","Lanier",10078
"87","Laurens",48434
"88","Lee",28298
"89","Liberty",63453
"90","Lincoln",7996
"91","Long",14464
"92","Lowndes",109233
"93","Lumpkin",29966
"94","McDuffie",21875
"95","McIntosh",14333
"96","Macon",14740
"97","Madison",28120
"98","Marion",8742
"99","Meriwether",21992
"100","Miller",6125
"101","Mitchell",23498
"102","Monroe",26424
"103","Montgomery",9123
"104","Morgan",17868
"105","Murray",39628
"106","Muscogee",189885
"107","Newton",99958
"108","Oconee",32808
"109","Oglethorpe",14899
"110","Paulding",142324
"111","Peach",27695
"112","Pickens",29431
"113","Pierce",18758
"114","Pike",17869
"115","Polk",41475
"116","Pulaski",12010
"117","Putnam",21218
"118","Quitman",2513
"119","Rabun",16276
"120","Randolph",7719
"121","Richmond",200549
"122","Rockdale",85215
"123","Schley",5010
"124","Screven",14593
"125","Seminole",8729
"126","Spalding",64073
"127","Stephens",26175
"128","Stewart",6058
"129","Sumter",32819
"130","Talbot",6865
"131","Taliaferro",1717
"132","Tattnall",25520
"133","Taylor",8906
"134","Telfair",16500
"135","Terrell",9315
"136","Thomas",44720
"137","Tift",40118
"138","Toombs",27223
"139","Towns",10471
"140","Treutlen",6885
"141","Troup",67044
"142","Turner",8930
"143","Twiggs",9023
"144","Union",21356
"145","Upson",27153
"146","Walker",68756
"147","Walton",83768
"148","Ware",36312
"149","Warren",5834
"150","Washington",21187
"151","Wayne",30099
"152","Webster",2799
"153","Wheeler",7421
"154","White",27144
"155","Whitfield",102599
"156","Wilcox",9255
"157","Wilkes",10593
"158","Wilkinson",9563
"159","Worth",21679
