state,estimated_population
Alabama,5049846
Alaska,734182
Arizona,7264877
Arkansas,3028122
California,39142991
Colorado,5811297
Connecticut,3623355
Delaware,1004807
District of Columbia,668791
Florida,21828069
Georgia,10788029
Hawaii,1447154
Idaho,1904314
Illinois,12686469
Indiana,6813532
Iowa,3197689
Kansas,2937922
Kentucky,4506589
Louisiana,4627098
Maine,1377238
Maryland,6174610
Massachusetts,6989690
Michigan,10037504
Minnesota,5711471
Mississippi,2949586
Missouri,6169823
Montana,1106227
Nebraska,1963554
Nevada,3146402
New Hampshire,1387505
New Jersey,9267961
New Mexico,2116677
New York,19857492
North Carolina,10565885
North Dakota,777934
Ohio,11764342
Oklahoma,3991225
Oregon,4256301
Pennsylvania,13012059
Rhode Island,1096985
South Carolina,5193266
South Dakota,896164
Tennessee,6968351
Texas,29558864
Utah,3339113
Vermont,646972
Virginia,8657365
Washington,7740745
West Virginia,1785526
Wisconsin,5880101
Wyoming,579483
Puerto Rico,3262693
